A_qso chisq
0.522719 1.327544
0.937644 1.123476
9.005137 1.589409
2.924145 0.754318
2.172331 0.938395
1.914186 1.086587
4.975248 0.972441
0.526939 1.311471
4.859979 1.321814
0.994000 1.174633
6.749762 0.940269
1.035415 1.383748
1.519005 1.213849
1.284391 1.150694
0.983283 1.180195
1.551339 0.912227
0.611086 1.038670
4.819740 1.110663
0.461430 1.726690
0.543662 1.419493
1.904449 0.809462
0.851461 0.999624
1.278073 1.466612
1.311418 0.976440
0.613090 1.184609
0.241068 0.992984
1.492299 1.702944
0.805415 1.085398
1.239745 1.019880
5.112120 2.211350
1.392121 1.413452
5.911829 1.073854
1.005336 1.689898
1.341303 0.905326
0.988712 0.966265
0.638022 0.900615
1.797824 2.680938
12.699220 0.804306
1.524528 1.018505
3.284513 1.210043
2.845034 1.507883
4.967200 1.931850
2.408989 1.073137
8.072948 0.857909
9.542600 0.853273
2.315654 1.630527
0.254852 1.265629
1.433935 0.859447
1.582550 1.165549
0.742178 1.188806
1.930213 1.002612
0.739310 1.038629
0.989567 0.864989
0.357932 1.377113
1.871025 1.106068
2.699645 1.277716
5.418802 0.826164
0.124682 1.168921
1.327216 1.636536
2.591848 2.485880
1.061257 1.010739
1.801816 0.855635
0.608509 1.025778
1.191922 0.857062
2.581771 1.087187
1.535322 0.987087
17.543672 2.083548
1.443194 0.869654
4.902900 0.725823
2.664367 2.180818
3.301879 0.779175
1.430012 1.464937
3.561646 0.690427
1.681882 1.494024
0.710599 0.932843
2.315043 0.835259
3.363394 0.862212
2.154874 1.200677
0.708318 0.903467
1.319292 1.003712
4.917383 2.283611
1.964145 0.969839
3.635004 1.234709
2.020189 1.091351
5.653112 1.076240
2.750186 0.901239
0.529984 1.148331
2.097391 1.127685
0.581032 1.680304
0.741840 0.845950
8.114958 0.513930
1.797957 2.063625
7.453120 1.032329
7.171121 0.522480
3.320635 16.343429
3.884007 0.968011
1.497825 2.038467
1.586505 0.871155
1.487765 0.955253
1.511467 2.200615
0.640049 0.896244
10.187716 0.870437
2.124021 1.088334
1.573220 1.091406
2.233132 1.820205
2.009192 0.820449
1.255654 0.940222
8.974326 1.365474
1.408979 1.003773
1.358065 0.888705
0.681917 1.017759
1.079560 0.950936
0.560387 1.195567
0.333595 0.902970
0.078923 1.100976
3.671575 0.899466
3.890481 0.654880
1.334983 1.304896
0.738981 1.289466
0.746985 1.023439
4.412602 1.131242
1.027242 0.967655
1.587819 1.251083
6.094605 0.824408
6.364681 0.794276
0.546104 1.101635
1.053146 1.065294
2.714357 0.879681
9.073703 0.838981
2.040946 1.013061
4.444593 1.158472
0.361686 1.058037
0.848362 0.921427
1.611615 1.033252
4.606623 3.549764
0.208330 0.929909
0.628627 1.103216
1.121463 1.086852
0.228204 1.051381
2.075705 1.342531
0.216400 0.986443
0.685244 1.221382
3.300301 1.097922
0.827327 0.943142
1.146957 1.157573
0.936211 1.468954
1.967091 1.056514
1.546748 1.280561
0.719104 1.080772
0.962862 1.322279
0.838963 0.985825
0.616603 1.006639
0.412812 0.946811
0.749984 1.842789
0.421081 1.073261
0.575303 1.174253
2.791761 1.679293
1.855507 1.364364
0.879754 1.277308
0.858672 0.787199
9.442809 1.101399
0.966277 1.046343
1.049061 0.940405
2.139487 1.901906
0.306777 0.977064
4.646163 0.810477
1.082946 2.691613
1.226230 0.945251
4.395281 1.052652
3.242053 0.949498
6.122259 2.162645
1.650777 1.182611
0.522312 1.011889
3.787505 1.744982
1.900028 1.318650
8.327336 0.580349
11.204876 0.540255
6.713091 2.784256
1.690920 1.433468
4.677286 0.754769
1.975296 0.849155
0.262877 1.194262
2.632357 1.012823
0.957709 0.944845
3.849288 0.891862
0.592609 0.919448
1.934402 2.268057
1.545547 1.138930
4.869174 1.546135
1.226561 0.990013
2.322570 1.639376
4.251411 1.154426
3.109609 0.820352
7.181653 0.712815
3.148303 1.344981
1.143922 0.866680
0.619622 1.158096
1.710753 1.000431
1.709057 1.040244
12.322707 0.679354
3.882278 0.918680
1.544336 1.206999
0.203033 1.106745
3.268611 1.688782
2.433577 1.097724
0.646155 1.292501
2.238382 1.248289
1.651531 1.669994
3.982585 0.546990
0.856686 0.908630
3.437410 0.811105
2.617001 2.205214
7.701304 0.561573
0.752027 0.873578
1.051328 0.993916
0.302267 1.250256
1.554171 1.001506
0.922401 1.112659
1.728442 0.860772
0.237318 0.959524
7.047877 1.200553
9.590520 0.884435
1.363922 1.133292
1.447764 1.326635
0.593323 1.195531
4.226166 0.870256
1.209187 1.056333
0.493113 1.215366
0.896808 1.266386
1.382275 1.770316
0.886456 1.065384
2.605429 0.837027
1.788784 1.116494
17.025422 0.921828
1.555745 1.306870
4.881754 1.309184
0.844905 1.147572
1.434347 1.558660
1.058197 1.176578
1.586930 1.361974
1.495246 1.676351
0.432706 1.037452
2.404862 0.884836
4.460889 1.082740
2.518929 1.116794
1.511795 1.058651
2.041958 1.123682
1.661227 1.226495
0.703943 1.053245
2.175400 0.798587
1.464159 1.288511
1.955990 1.656480
1.021508 1.102311
0.940701 1.330354
1.122350 0.985373
2.555754 0.729939
0.863039 1.039273
4.886913 5.186943
1.021620 1.474823
2.329219 0.864087
1.621152 1.277007
1.396046 1.177265
5.277043 4.252948
0.138029 1.230044
0.919611 1.141187
9.704917 6.290014
1.177373 1.047775
3.205295 1.537154
1.506857 0.871986
0.969381 0.955101
2.054155 0.693218
10.156001 1.023646
12.915666 0.429899
1.269679 0.883820
4.426634 1.227679
1.499888 0.997082
0.509914 1.155573
1.473441 0.729263
0.886204 1.154270
1.908892 0.872195
1.226492 0.908970
0.936862 0.970313
0.322044 0.961082
1.333639 1.126403
1.255822 1.148291
1.039560 0.986353
11.746685 0.430753
0.444362 0.885784
0.534887 1.200877
12.269916 1.295265
0.982261 1.038603
0.947025 1.232171
2.595857 1.021550
3.680974 0.792790
0.373631 1.009529
3.551535 1.419178
3.528233 2.180966
1.359173 1.329494
15.292857 5.352171
2.239686 0.813063
0.499522 2.143754
0.528924 1.545527
0.457443 1.105861
0.941055 1.291651
0.830296 0.999746
1.697309 0.925199
0.971979 0.815098
3.612734 0.839432
0.714036 1.295079
1.042591 2.026861
0.798936 1.162334
0.928785 0.980968
2.607909 0.850096
2.559332 0.842310
1.075864 1.020006
0.692235 1.613839
0.839372 1.074297
0.655344 1.011834
1.218434 1.246915
1.415070 1.027588
1.822539 1.170560
3.605248 0.742121
0.635760 1.068403
