A_qso chisq
0.608307 1.038883
4.816428 1.115092
0.464973 1.734802
0.544329 1.422489
1.899853 0.789277
0.847236 1.002449
1.277735 1.451997
1.306993 0.981740
0.611772 1.184029
0.240833 0.990179
1.487357 1.716732
0.805522 1.086592
1.235972 1.006154
5.105200 2.250666
1.384138 1.443232
5.904655 1.074691
1.000171 1.714655
1.338373 0.903302
0.988811 0.987221
0.635878 0.899051
1.792847 2.619093
12.685732 0.817329
1.518666 1.026886
3.278720 1.205314
2.839251 1.545202
4.958859 1.908789
2.402270 1.083769
8.060421 0.881608
9.533404 0.864832
2.307922 1.667872
0.256973 1.288793
1.428611 0.867016
1.582717 1.164025
0.741596 1.180657
1.921975 1.032826
0.738006 1.038001
0.985523 0.872451
0.354375 1.385063
1.865828 1.118506
2.693446 1.267513
5.413700 0.815770
0.124787 1.169291
1.328943 1.659716
2.587943 2.521256
1.059191 1.013069
1.797845 0.855538
0.608620 1.036868
1.189020 0.852480
2.573563 1.102733
1.528693 0.999213
17.529292 2.147612
1.438957 0.870850
4.891851 0.746847
2.654499 2.267513
3.295572 0.754005
1.425012 1.478905
3.554128 0.683405
1.682664 1.503317
0.708506 0.934966
2.312564 0.827722
3.353035 0.853536
2.152184 1.213201
0.705036 0.908064
1.314081 1.020639
4.920129 2.467795
1.959122 0.979927
3.630019 1.194366
2.014284 1.095446
5.646600 1.089963
2.740913 0.927721
0.531705 1.165644
2.094475 1.125143
0.580163 1.679105
0.738248 0.848919
8.106375 0.531181
1.793854 2.079460
7.443995 1.048356
7.161103 0.509988
3.327400 16.378215
3.878506 0.971661
1.498848 2.024971
1.584527 0.868499
1.482726 0.961133
1.514730 2.272376
0.636820 0.900843
10.174048 0.913463
2.119711 1.074965
1.574876 1.125917
2.229470 1.776722
2.003285 0.824359
1.252729 0.937140
8.966600 1.386445
1.405018 1.010326
1.354128 0.890869
0.680540 1.016040
1.075808 0.957116
0.558833 1.196650
0.333029 0.902378
0.080059 1.103266
3.666262 0.913590
3.885203 0.652976
1.333031 1.288081
0.741895 1.358000
0.744586 1.017394
4.405450 1.113311
1.020518 0.986639
1.583372 1.256839
6.083690 0.859860
6.356034 0.814407
0.543713 1.101114
1.053729 1.058092
2.709618 0.888725
9.066382 0.862385
2.038109 1.010590
4.440097 1.142034
0.361621 1.058129
0.843213 0.934914
1.607080 1.045532
4.600264 3.484472
0.206932 0.932339
0.629460 1.111056
1.121094 1.123255
0.229638 1.060620
2.073332 1.345428
0.216893 0.987015
0.685558 1.218668
3.296588 1.083750
0.826127 0.940268
1.146800 1.158302
0.931901 1.490200
1.962455 1.064264
1.542354 1.286588
0.721263 1.112029
0.960582 1.325721
0.837309 0.985174
0.614143 1.010343
0.413661 0.947907
0.750080 1.818984
0.419723 1.076735
0.576210 1.189581
2.791709 1.682419
1.852413 1.342949
0.875936 1.280494
0.855843 0.791136
9.430425 1.102574
0.964684 1.040222
1.046350 0.940463
2.131622 1.951880
0.307215 0.984995
4.640675 0.811765
1.087183 3.043117
1.221603 0.948699
4.388408 1.068311
3.233474 0.928172
6.113747 2.157866
1.643460 1.209731
0.522583 1.010748
3.777577 1.809817
1.900488 1.343805
8.319919 0.578383
11.189986 0.565509
6.699261 2.685595
1.687552 1.416289
4.667668 0.763169
1.971704 0.847506
0.262619 1.193760
2.628723 1.006338
0.953001 0.955855
3.839232 0.920081
0.592484 0.928752
1.937890 2.341371
1.540792 1.136700
4.867570 1.537541
1.225851 0.989311
2.315367 1.684747
4.247339 1.157906
3.098000 0.855384
7.174618 0.694891
3.147307 1.342209
1.139230 0.865332
0.616849 1.153521
1.709097 0.992944
1.704043 1.046841
12.313992 0.643848
3.873863 0.924149
1.545138 1.248257
0.201672 1.107307
3.262600 1.668119
2.429530 1.099024
0.641517 1.301374
2.227404 1.289489
1.647174 1.623644
3.978580 0.549912
0.853685 0.902279
3.431304 0.813686
2.614344 2.176278
7.691882 0.552820
0.751106 0.871737
1.051174 1.001115
0.298764 1.253089
1.550859 1.004691
0.920200 1.132178
1.724991 0.861791
0.235908 0.959044
7.042371 1.183432
9.570868 0.873145
1.360977 1.135799
1.443187 1.345069
0.589540 1.210827
4.219443 0.885203
1.206159 1.052326
0.493829 1.213871
0.892394 1.280505
