Aqso Chisq/dof
3.189189 1.370038
3.172521 6.809351
1.082331 1.131094
0.999504 1.666191
1.028814 0.699595
6.611693 1.972840
6.934953 35.065598
3.816283 9.864725
0.996694 0.758918
1.201468 1.263444
1.078863 1.645306
2.096852 0.726061
4.411787 5.431451
10.255357 4.900308
5.564310 3.191582
1.767844 7.271497
1.886424 6.349852
1.498590 0.933900
1.035582 1.282946
3.905403 1.277992
0.681797 1.327271
0.909444 0.798344
1.352427 1.137163
3.690599 0.753627
1.198002 6.324856
1.803829 0.579493
1.609226 1.430123
4.841871 12.997748
2.847665 4.408985
0.354405 1.990565
2.326527 2.702155
2.229019 4.657039
2.369821 2.463612
4.326381 1.256876
1.064043 3.489606
3.930381 1.811877
3.788421 1.095342
2.356979 1.994962
2.159706 1.335456
3.186184 0.715110
3.303413 1.661859
1.710207 2.059550
3.416010 5.345607
2.475167 0.572090
1.233802 1.718400
1.765290 1.028021
3.192211 0.911144
1.146644 0.849691
3.110087 1.495894
0.547243 0.695239
0.894277 1.417122
0.663057 1.351176
0.647787 0.735516
14.709566 0.406571
1.696348 2.186406
0.640475 1.558273
0.919961 1.230444
4.131259 1.349876
2.911281 1.828425
3.310316 1.221005
1.480754 1.017427
3.230996 2.622216
2.035786 0.915779
3.780190 1.966070
1.593852 0.551468
1.261566 1.035452
1.483877 1.615182
0.633787 1.049589
1.019488 0.860094
1.729758 5.051371
3.605171 2.482161
0.303493 1.530494
1.294007 0.848486
0.535583 0.343668
2.209149 0.845779
4.700765 9.001035
2.114263 1.594145
18.494119 11.844305
3.966897 2.859880
3.067216 4.244834
1.622176 3.055614
5.634313 18.406703
9.158030 35.948182
3.699960 1.386962
0.601744 0.500789
1.600045 3.879946
1.486899 1.320384
0.724216 0.616669
1.477035 1.229733
12.680959 2.260866
1.009931 0.694721
1.735287 1.350136
9.435067 7.098094
1.390409 2.819627
5.620280 2.565555
1.483002 0.691511
2.161995 1.295753
1.894137 3.859066
1.834183 0.906296
0.552679 0.929828
1.005842 1.670352
1.103047 1.343722
3.727460 4.637026
1.476647 2.519403
5.012307 0.850952
0.655289 2.546807
1.372861 2.190403
0.920153 3.513056
0.950500 2.321565
3.259859 0.768040
1.615184 2.125587
2.022206 7.595331
3.296953 0.970967
3.663785 5.277834
2.159720 0.800349
3.530590 12.344981
2.640311 1.808826
6.676940 0.358338
6.060067 2.979426
3.148194 6.125677
4.262330 3.283785
2.323947 2.103989
4.447065 1.304628
1.057582 0.867430
0.825668 1.402010
3.600917 1.548725
1.563426 0.747289
8.019244 4.539527
3.114521 7.298969
1.931831 0.653903
9.136444 11.714072
3.911835 3.704280
6.775294 2.113346
1.074570 0.489761
2.164560 1.674036
4.779142 1.070716
16.331379 13.415695
1.341121 0.468435
4.511784 1.327638
0.855738 0.969538
2.597444 9.119880
1.344637 3.555202
0.644628 1.226739
5.041439 1.206850
1.720427 1.043818
1.733712 15.340118
0.632899 0.883749
1.415369 1.272727
0.727032 1.411914
0.840142 0.506414
1.238835 4.583168
2.124407 1.654519
0.624734 1.935958
0.916199 1.118797
0.879093 0.685573
2.097522 4.621755
0.298326 0.666751
1.209315 0.693663
1.059717 1.027968
3.714744 1.633762
5.373661 0.872214
2.812833 1.112040
1.046699 0.963751
6.807829 5.067524
12.171264 4.219214
3.982384 1.402770
1.395774 2.915453
1.686585 2.319699
3.854979 5.990495
7.063615 5.710217
2.261111 1.043123
6.051847 0.269320
0.603285 1.249042
1.817923 0.601076
1.498956 0.547152
1.346395 1.232072
1.636033 1.478406
1.534793 1.496977
0.416413 1.338402
0.694895 0.688955
1.164795 0.896174
7.488000 66.286877
1.209605 1.317673
1.226545 2.349252
2.779834 0.915360
1.730072 1.615197
6.087898 4.193177
2.087555 1.206779
1.870907 0.865859
27.904733 3.003206
1.901726 5.156376
0.909245 1.592976
2.123718 4.021788
1.919681 1.144992
2.433470 2.778312
4.882033 10.530135
2.116568 19.006115
2.150055 1.452327
7.183803 0.577117
2.613631 5.196241
1.303758 1.806589
7.035815 4.436656
2.629136 0.811535
-5.492314 18.185229
0.553201 0.747362
7.862456 5.382561
1.911735 1.094795
5.160835 1.437200
1.000106 2.633639
3.993637 2.040469
0.852237 0.742621
6.057483 2.037270
1.652823 1.896907
1.086301 0.854733
1.011465 1.124269
2.525071 1.952808
4.999638 1.752713
1.004423 3.719010
0.950209 2.648255
1.859409 6.343598
0.804285 0.793894
2.401271 2.845759
1.906495 0.964926
1.884671 1.482227
1.293450 1.258204
1.143020 1.650956
1.199290 0.545257
3.771385 3.015316
1.058797 0.877482
5.268957 1.726792
0.906078 0.803524
3.197302 0.743724
1.258188 0.815571
0.767410 1.706598
6.283867 3.899122
3.572594 1.124012
2.424673 6.185620
10.693960 1.725500
1.271977 0.871138
2.968945 0.842303
1.923774 1.059069
4.982908 2.643465
1.994657 1.186879
6.796951 3.552518
1.148213 1.155291
3.008271 5.291005
1.943014 0.592939
2.375480 3.137000
0.678453 2.453827
0.719971 1.940339
2.031700 2.633512
1.087387 2.161945
0.916548 0.997962
0.804169 1.100163
0.944678 0.828807
5.983010 1.305181
0.849242 2.302976
1.606054 1.016779
2.589159 1.449160
2.854864 2.313681
0.251080 1.952987
2.848678 4.250203
2.229098 0.993280
1.582418 4.419083
1.211320 0.650222
2.427364 2.733381
14.187986 109.839382
1.994472 3.408730
3.320458 0.864404
1.747012 2.730509
3.259143 0.514026
2.353088 5.527246
0.695168 0.826803
2.367300 1.350975
3.020145 0.532202
2.398773 1.439855
0.839797 1.022259
1.040845 0.809765
6.432034 8.573251
10.004408 1.321541
7.456355 2.637953
4.136954 2.778778
1.064565 2.321960
4.640071 1.355128
2.570918 1.050326
0.982886 2.775599
2.004093 1.449769
0.374091 1.584846
0.677895 0.556653
6.643699 1.125863
11.592216 1.045153
6.509181 3.745071
2.536044 2.363789
1.628144 1.182478
8.233000 186.568205
3.619108 0.712640
2.171259 3.709056
2.227196 0.882194
1.315283 0.866536
1.015271 1.147586
2.769757 1.839749
0.538469 0.544564
8.104356 1.671615
2.159869 1.154024
2.299333 4.563578
8.819815 5.018610
1.332624 0.966069
7.302659 2.658817
1.295891 0.961806
0.503099 0.595915
0.816018 1.055702
0.914609 0.674864
2.703337 7.371748
0.417108 0.860724
1.092550 0.763928
2.159137 1.030185
3.549898 0.666114
3.205119 1.832765
1.334148 5.267668
0.852537 0.818551
